ASV_ID,domain,phylum,class,order,family,genus,species,mean_CN,SRR8985886_FD10_duringflight,SRR8985887_FD90_duringflight,SRR8985888_L150_preflight,SRR8985889_L60_preflight,SRR8985890_R180_postflight,SRR8985891_L180_preflight,SRR8985892_R33_postflight,SRR8985893_R63_postflight,SRR8985894_R0_postflight,SRR8985895_R18_postflight,SRR8985896_neg_control2,SRR8985897_R0_postflight,SRR8985898_R14_preflight,SRR8985899_L120_preflight,SRR8985900_L180_preflight,SRR8985901_R180_postflight,SRR8985902_R60_postflight,SRR8985903_FD90_duringflight,SRR8985904_FD10_duringflight,SRR8985905_L60_preflight,SRR8985906_L90_preflight,SRR8985907_FD10_duringflight,SRR8985908_FD90_duringflight,SRR8985909_R0_postflight,SRR8985910_R18_postflight,SRR8985911_R30_postflight,SRR8985912_R60_postflight,SRR8985913_R180_postflight,SRR8985914_L60_preflight,SRR8985915_R33_postflight,SRR8985916_R63_postflight,SRR8985917_R63_postflight,SRR8985918_R30_postflight,SRR8985919_L120_preflight,SRR8985920_R180_postflight,SRR8985921_L90_preflight,SRR8985922_L120_preflight,SRR8985923_FD10_duringflight,SRR8985924_L60_preflight,SRR8985925_R14_preflight,SRR8985926_FD90_duringflight,SRR8985927_FD90_duringflight,SRR8985928_R14_duringflight,SRR8985929_L60_preflight,SRR8985930_FD7_duringflight,SRR8985931_L180_preflight,SRR8985932_L90_preflight,SRR8985933_L240_preflight,SRR8985934_L240_preflight,SRR8985935_R1_duringflight,SRR8985936_R0_postflight,SRR8985937_R60_postflight,SRR8985938_R60_postflight,SRR8985939_R0_postflight,SRR8985940_R30_postflight,SRR8985941_FD10_duringflight,SRR8985942_FD90_duringflight,SRR8985943_R180_postflight,SRR8985944_L90_preflight,SRR8985945_R14_preflight,SRR8985946_R0_postflight,SRR8985947_FD90_duringflight,SRR8985948_FD10_duringflight,SRR8985949_L60_preflight,SRR8985950_L180_preflight,SRR8985951_R60_postflight,SRR8985952_R33_postflight,SRR8985953_R18_postflight,SRR8985954_R1_postflight,SRR8985955_R18_postflight,SRR8985956_R0_postflight,SRR8985957_R33_postflight,SRR8985958_R63_postflight,SRR8985959_L180_preflight,SRR8985960_L90_preflight,SRR8985961_L60_preflight,SRR8985962_FD10_duringflight,SRR8985963_FD90_duringflight,SRR8985964_R1_duringflight,SRR8985965_R0_postflight,SRR8985966_R18_postflight,SRR8985967_R60_postflight,SRR8985968_R18_postflight,SRR8985969_FD90_duringflight,SRR8985970_L60_preflight,SRR8985971_FD10_duringflight,SRR8985972_L90_preflight,SRR8985973_R1_postflight,SRR8985974_FD90_duringflight,SRR8985975_neg_control1,SRR8985976_R18_postflight
ASV_301,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,NA,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000371917,8.45E-05,0,0.000578808,0,4.58E-05,0.000201478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001671964,0.000255831,0.000999787,9.04E-05,0,0,0,0,0.001490379,0.001377528,0.00104096,0.000247193,0.002967702,0.000534754,0.000635473,0.000555427,0.000212513,0,0.000149572,0.000207166,0,0,0.000182749,0.000588643,0,0,0,0,0,0.001157684
ASV_32,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,NA,5.3,0.006582812,0.003139501,0.000235019,0.024383686,1.91E-05,0.001852741,0.00010846,0,0.000113567,9.52E-05,0.000744158,0.001574827,0.001862932,0.001365887,0.000592762,0.00012252,0.00030284,0.000389735,0.001722398,0.001382905,0.000647198,0.002866543,0.004744295,0.000735883,0.002259582,0.00270562,0.001769246,0.000261956,0.00112021,0.002001349,0.001348952,0.001082008,0.004490547,0.000225219,0.000277619,0.000323452,0.000605703,0,6.30E-05,0.000526866,0.000375734,7.41E-05,0.000118987,8.57E-05,0.000215177,2.63E-05,1.37E-05,0.000125018,1.62E-05,0.000309261,0.000231053,0.000142834,8.72E-05,0.000196978,0.000361421,0.002353975,0,0.000340599,4.73E-05,8.55E-05,0,0.026494194,0.012821647,0.016163224,0.002312913,0.03663096,0.012080621,0.008105429,0.002073173,0.027140588,0.023481306,0.015822586,0.009073422,0.005003684,0.002168723,0.003642504,0.00257802,0.007038226,0.001805714,0.004957252,0.00436991,0.009822614,0.007148177,0.000932019,0.003117246,0.020025724,0.015533747,0.005097758,0.008725827,0.000301967,0.004498009
ASV_57,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,NA,5.3,0.00100802,0.002399828,0,0.001659791,0,0.000168431,0,0,0,0,0,0.000210958,0.000294682,0.000201141,0.000674523,9.80E-05,0,7.93E-05,0.00030049,0.000474998,0.000241025,0,0,0,1.21E-05,0.000583785,0.000207209,0.000368154,0,0,0,0.000839489,0.002768712,0.000548971,0.001815201,0.001063986,0.000165192,0.002960805,0.002165885,0.00233431,0.004361783,0,0,0,0,0,0,2.89E-05,0,0,0,0.001656876,0.000697355,0.000636392,0.002770892,0.00040459,0,0.003244649,6.31E-05,0.000142486,0,0.005736122,0.014958588,0.002332837,0.000335954,0.010204906,0.000935274,0.000485689,0.000874727,0.009648244,0.004433423,0.003591311,0.012984882,0.001187081,0.000980382,0.006230253,0.004935965,0.008379081,0.004312878,0.001976491,0.001094096,0.005549258,0.001351546,3.65E-05,0.00123359,0.011528548,0.000817566,0.001354386,0.002241174,0,0.00060465
ASV_109,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,NA,5.3,0.003681466,0.002136833,0,0.001242838,0,0.000252647,0,0,0,0,0,0.000240394,0.000623235,0.000252595,0.000183961,0,0,0.000204776,0.00041511,0.000817718,3.57E-05,0,0,0,0,0.001380877,0.000892593,0.000389394,0,0.000370113,7.58E-05,0.001884187,0.003788038,8.45E-05,0.001441483,9.36E-05,2.75E-05,0.000175512,7.56E-05,0.000267092,0.000245044,0,0,0,0,0,0,0,0,0,0,0.000307093,8.72E-05,6.82E-05,0.000155907,7.36E-05,0,0.000280844,0,0,0,0.002469362,0.002648603,0.000833156,0.000206741,0.002633524,0.00043841,0.00041403,0.000365044,0.001980635,0.001710034,0.003070831,0.000494385,0.00786096,0.0026094,0.004933103,0.001383328,0.001998634,0.001298725,0.003867511,0.001223575,0.000488384,9.01E-05,0.000374635,0.002119113,0.001270575,0.000228437,0.000137947,0.001528073,0,0.001452636
ASV_178,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] brachy group,NA,4.6,1.01E-05,0,0,0,0.000483961,0,8.33E-05,0.000187227,6.54E-05,0.000255923,0,0.000604825,8.20E-05,0.001304263,0.000310867,0.000310562,0.00013957,0.000152218,0.000124924,0.001704189,0.00102853,0.000906639,0.002700422,0.001359078,0.001016313,0.002839241,0.000905991,0.000277347,0.000203791,0.001263508,0.004295955,0.000150459,0.000158708,0.000681165,0.001414789,0.000254987,0.000301355,4.40E-05,0.000667395,1.26E-05,0.000131756,0.000179251,0.000117509,0.001457112,0.000743764,0.000222422,0.000268281,0.000686973,0.000102362,0.000127258,0.000245735,9.05E-05,0.000109565,0.000349159,0.000212292,0.00042378,0.000204617,0.000172118,0.000345208,6.57E-05,3.45E-05,0,0,0,0,1.31E-05,0,0,0,0,0,0,0.000502604,0.000174941,3.99E-05,0.00021135,0.000193192,0.000110766,0.00016804,0.00024619,2.98E-05,0.000640074,0.000426793,5.26E-05,1.18E-05,0.000534082,4.16E-05,0.000296204,0.000348074,0,0
ASV_83,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group,NA,4.6,0.000838239,0.000643909,0.004742367,0.000766795,0,0.000776247,0,0,0,0,0,5.09E-05,0.001330782,1.62E-05,0.000178984,0.000225863,0,0,0.000506833,6.93E-05,0.00017485,2.16E-05,0,0,4.18E-05,7.76E-05,0.000171404,0.000309976,0,0,0,0.002299876,0.007887804,9.73E-05,0.003309376,0.000166722,9.52E-05,0.001142982,4.35E-05,0.002137292,0.001223444,0,0,0,0,0,0,0,0,0,0,0.000888677,0.000301303,0.000322972,0.000351099,0.000805181,0,0.000736665,0,0,0,0.00074092,0.003329074,0.000383976,0.001265445,0.000170024,0.00015715,0.000477034,8.73E-05,0.003140624,0.000492564,0.001049446,0.003300432,0.006114997,0.006606275,0.006265004,0.005542196,0.005235166,0.004473068,0.00896133,0.001521657,0.002504027,0.000576747,0.001537077,0.003178781,0.001448554,0.001433746,0.000260081,0.005314198,0,0.001214911
ASV_221,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Amnipila,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0.000550525,4.13E-06,0,0,0,2.33E-05,0.000216177,5.31E-06,0.000106453,0,0,0,0,0,4.69E-06,0.000431519,0,0,0,0.001235915,8.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61E-06,0,0,0,0,0,0,0.000652319,0.000997217,7.52E-05,0.004452673,0.001452593,0.002386436,0.003104871,0.000177278,0,0,0,0,0,0,5.54E-06,0,0,0
ASV_131,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,NA,Parvimonas,NA,3,0.000247769,0.000377507,0.000179546,5.67E-05,0.0016528,0,0.000670644,0.001062199,0.000501588,0.001962076,0,0.000849393,0.000400926,0.001760216,0.000642772,0.000389614,0.00032101,0.000501811,0.000279115,0.002836158,0.001513996,0.003376151,0.005645035,0.00414872,0.002668401,0.003877494,0.002750212,0.000725453,0.000659679,0.003463066,0.009050611,0,0,0.001691018,0,0.001248127,0.000607997,0.000363996,0.001668487,0.000420151,0.000490633,0.00041882,0.000930932,0.001571541,0.001555144,0.000635589,0.000375068,0.001240245,0.000385252,0.001717137,0.001444377,0.000391128,0.000433998,0.001017217,0.001164342,0.000779754,0.00048805,0.000665063,0.000334306,0.000402761,0.000554988,0.006407479,0.002392772,0.003238199,0.003789387,6.02E-05,0.00010327,2.81E-05,6.08E-05,0.004573111,0.004531591,0.009057216,0.022220676,0,0,0,0,0,0,0,0,0.000269628,8.84E-05,8.07E-05,9.04E-06,0.000365276,0.000276129,0.000221551,8.69E-05,0,2.61E-05
ASV_304,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,NA,Parvimonas,NA,11.9,0,0,0,0,0.000646267,0,0.000152968,0.000238832,0.000160171,0.000353315,0,0,0,0,1.64E-05,0,0,0,0,0,0,0.000233644,0,4.34E-05,0,0,0,0,4.38E-05,0,8.78E-05,5.40E-05,4.29E-05,0.000169269,6.18E-05,4.17E-05,1.23E-05,3.40E-05,5.61E-05,6.52E-06,0,6.60E-05,0.000132486,0.000696907,0.0007086,0.000183681,0.000219611,0.00044116,0.000118705,0.000304992,0.000443287,2.54E-05,0.000130588,2.02E-05,0,0,0,2.93E-05,0,0,0,0,0,0,0,2.53E-05,4.34E-06,1.42E-05,0,0,0,0,0,0,0,0,3.27E-05,2.70E-05,3.71E-05,3.33E-05,0,3.53E-05,5.35E-05,3.26E-05,0,8.91E-06,3.21E-05,3.35E-05,2.19E-05,0,0
ASV_79,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,NA,Parvimonas,NA,11.9,0.00028889,0.000893133,0.000220661,0.003756882,0,0.001050217,0,0,0,0,0,0.000356159,8.15E-05,0.001097922,0.001329121,0,0,0.000329507,0.000175223,0.000923874,8.75E-05,0,0,0,0,0.002160043,0.000828211,0.000299557,0,0.000225892,0.000101257,0.000714546,0.001036806,0.000206884,0.0013601,4.17E-05,0.000141014,8.84E-05,0.00027481,4.24E-05,0.00031286,0,0,0,0,0,0,0,0,0,0,0.00012723,9.18E-05,0.000374539,0.000839563,0,0,0.000561538,0,0,0,0.001409118,0.000810996,0.000296856,0.007141788,0.000121336,0,0,0,0.000471635,0.000832132,0.000764974,0.001560747,0.0054161,0.002615433,0.00128091,0.000536757,0.001273249,7.73E-05,0.002336326,0.001265791,0,0,0,0.000492421,0,0,0,0,0,0.001921212
